segment_id,recording_id,gesture,prediccion
arriba_p01_s01_r017_w00,arriba_p01_s01_r017,arriba,arriba
arriba_p01_s01_r017_w01,arriba_p01_s01_r017,arriba,arriba
arriba_p01_s01_r017_w02,arriba_p01_s01_r017,arriba,arriba
arriba_p01_s01_r021_w00,arriba_p01_s01_r021,arriba,arriba
arriba_p01_s01_r021_w01,arriba_p01_s01_r021,arriba,arriba
arriba_p01_s01_r021_w02,arriba_p01_s01_r021,arriba,arriba
arriba_p01_s01_r026_w00,arriba_p01_s01_r026,arriba,arriba
arriba_p01_s01_r026_w01,arriba_p01_s01_r026,arriba,arriba
arriba_p01_s01_r026_w02,arriba_p01_s01_r026,arriba,arriba
arriba_p01_s01_r027_w00,arriba_p01_s01_r027,arriba,izquierda
arriba_p01_s01_r027_w01,arriba_p01_s01_r027,arriba,izquierda
arriba_p01_s01_r027_w02,arriba_p01_s01_r027,arriba,arriba
arriba_p01_s01_r028_w00,arriba_p01_s01_r028,arriba,arriba
arriba_p01_s01_r028_w01,arriba_p01_s01_r028,arriba,arriba
arriba_p01_s01_r028_w02,arriba_p01_s01_r028,arriba,arriba
arriba_p01_s01_r029_w00,arriba_p01_s01_r029,arriba,arriba
arriba_p01_s01_r029_w01,arriba_p01_s01_r029,arriba,arriba
arriba_p01_s01_r029_w02,arriba_p01_s01_r029,arriba,arriba
arriba_p01_s01_r030_w00,arriba_p01_s01_r030,arriba,arriba
arriba_p01_s01_r030_w01,arriba_p01_s01_r030,arriba,arriba
arriba_p01_s01_r030_w02,arriba_p01_s01_r030,arriba,arriba
arriba_p01_s01_r034_w00,arriba_p01_s01_r034,arriba,izquierda
arriba_p01_s01_r034_w01,arriba_p01_s01_r034,arriba,arriba
arriba_p01_s01_r034_w02,arriba_p01_s01_r034,arriba,arriba
arriba_p01_s01_r036_w00,arriba_p01_s01_r036,arriba,arriba
arriba_p01_s01_r036_w01,arriba_p01_s01_r036,arriba,arriba
arriba_p01_s01_r036_w02,arriba_p01_s01_r036,arriba,arriba
arriba_p01_s01_r037_w00,arriba_p01_s01_r037,arriba,arriba
arriba_p01_s01_r037_w01,arriba_p01_s01_r037,arriba,arriba
arriba_p01_s01_r037_w02,arriba_p01_s01_r037,arriba,arriba
arriba_p01_s01_r039_w00,arriba_p01_s01_r039,arriba,arriba
arriba_p01_s01_r039_w01,arriba_p01_s01_r039,arriba,arriba
arriba_p01_s01_r039_w02,arriba_p01_s01_r039,arriba,izquierda
arriba_p01_s01_r040_w00,arriba_p01_s01_r040,arriba,arriba
arriba_p01_s01_r040_w01,arriba_p01_s01_r040,arriba,arriba
arriba_p01_s01_r040_w02,arriba_p01_s01_r040,arriba,arriba
circulo_p01_s01_r003_w00,circulo_p01_s01_r003,circulo,circulo
circulo_p01_s01_r003_w01,circulo_p01_s01_r003,circulo,circulo
circulo_p01_s01_r003_w02,circulo_p01_s01_r003,circulo,circulo
circulo_p01_s01_r005_w00,circulo_p01_s01_r005,circulo,circulo
circulo_p01_s01_r005_w01,circulo_p01_s01_r005,circulo,circulo
circulo_p01_s01_r005_w02,circulo_p01_s01_r005,circulo,circulo
circulo_p01_s01_r007_w00,circulo_p01_s01_r007,circulo,arriba
circulo_p01_s01_r007_w01,circulo_p01_s01_r007,circulo,circulo
circulo_p01_s01_r007_w02,circulo_p01_s01_r007,circulo,circulo
circulo_p01_s01_r014_w00,circulo_p01_s01_r014,circulo,circulo
circulo_p01_s01_r014_w01,circulo_p01_s01_r014,circulo,circulo
circulo_p01_s01_r014_w02,circulo_p01_s01_r014,circulo,circulo
circulo_p01_s01_r016_w00,circulo_p01_s01_r016,circulo,circulo
circulo_p01_s01_r016_w01,circulo_p01_s01_r016,circulo,circulo
circulo_p01_s01_r016_w02,circulo_p01_s01_r016,circulo,circulo
circulo_p01_s01_r017_w00,circulo_p01_s01_r017,circulo,circulo
circulo_p01_s01_r017_w01,circulo_p01_s01_r017,circulo,circulo
circulo_p01_s01_r017_w02,circulo_p01_s01_r017,circulo,circulo
circulo_p01_s01_r019_w00,circulo_p01_s01_r019,circulo,circulo
circulo_p01_s01_r019_w01,circulo_p01_s01_r019,circulo,circulo
circulo_p01_s01_r019_w02,circulo_p01_s01_r019,circulo,circulo
circulo_p01_s01_r025_w00,circulo_p01_s01_r025,circulo,circulo
circulo_p01_s01_r025_w01,circulo_p01_s01_r025,circulo,circulo
circulo_p01_s01_r025_w02,circulo_p01_s01_r025,circulo,circulo
circulo_p01_s01_r035_w00,circulo_p01_s01_r035,circulo,circulo
circulo_p01_s01_r035_w01,circulo_p01_s01_r035,circulo,circulo
circulo_p01_s01_r035_w02,circulo_p01_s01_r035,circulo,circulo
circulo_p01_s01_r036_w00,circulo_p01_s01_r036,circulo,circulo
circulo_p01_s01_r036_w01,circulo_p01_s01_r036,circulo,circulo
circulo_p01_s01_r036_w02,circulo_p01_s01_r036,circulo,circulo
circulo_p01_s01_r038_w00,circulo_p01_s01_r038,circulo,circulo
circulo_p01_s01_r038_w01,circulo_p01_s01_r038,circulo,circulo
circulo_p01_s01_r038_w02,circulo_p01_s01_r038,circulo,circulo
derecha_p01_s01_r003_w00,derecha_p01_s01_r003,derecha,izquierda
derecha_p01_s01_r003_w01,derecha_p01_s01_r003,derecha,derecha
derecha_p01_s01_r003_w02,derecha_p01_s01_r003,derecha,derecha
derecha_p01_s01_r005_w00,derecha_p01_s01_r005,derecha,derecha
derecha_p01_s01_r005_w01,derecha_p01_s01_r005,derecha,derecha
derecha_p01_s01_r005_w02,derecha_p01_s01_r005,derecha,derecha
derecha_p01_s01_r006_w00,derecha_p01_s01_r006,derecha,derecha
derecha_p01_s01_r006_w01,derecha_p01_s01_r006,derecha,derecha
derecha_p01_s01_r006_w02,derecha_p01_s01_r006,derecha,derecha
derecha_p01_s01_r007_w00,derecha_p01_s01_r007,derecha,izquierda
derecha_p01_s01_r007_w01,derecha_p01_s01_r007,derecha,izquierda
derecha_p01_s01_r007_w02,derecha_p01_s01_r007,derecha,derecha
derecha_p01_s01_r009_w00,derecha_p01_s01_r009,derecha,derecha
derecha_p01_s01_r009_w01,derecha_p01_s01_r009,derecha,derecha
derecha_p01_s01_r009_w02,derecha_p01_s01_r009,derecha,izquierda
derecha_p01_s01_r013_w00,derecha_p01_s01_r013,derecha,derecha
derecha_p01_s01_r013_w01,derecha_p01_s01_r013,derecha,derecha
derecha_p01_s01_r013_w02,derecha_p01_s01_r013,derecha,izquierda
derecha_p01_s01_r016_w00,derecha_p01_s01_r016,derecha,derecha
derecha_p01_s01_r016_w01,derecha_p01_s01_r016,derecha,derecha
derecha_p01_s01_r016_w02,derecha_p01_s01_r016,derecha,derecha
derecha_p01_s01_r018_w00,derecha_p01_s01_r018,derecha,derecha
derecha_p01_s01_r018_w01,derecha_p01_s01_r018,derecha,derecha
derecha_p01_s01_r018_w02,derecha_p01_s01_r018,derecha,derecha
derecha_p01_s01_r021_w00,derecha_p01_s01_r021,derecha,derecha
derecha_p01_s01_r021_w01,derecha_p01_s01_r021,derecha,derecha
derecha_p01_s01_r021_w02,derecha_p01_s01_r021,derecha,derecha
derecha_p01_s01_r024_w00,derecha_p01_s01_r024,derecha,derecha
derecha_p01_s01_r024_w01,derecha_p01_s01_r024,derecha,derecha
derecha_p01_s01_r024_w02,derecha_p01_s01_r024,derecha,derecha
derecha_p01_s01_r029_w00,derecha_p01_s01_r029,derecha,izquierda
derecha_p01_s01_r029_w01,derecha_p01_s01_r029,derecha,izquierda
derecha_p01_s01_r029_w02,derecha_p01_s01_r029,derecha,izquierda
derecha_p01_s01_r031_w00,derecha_p01_s01_r031,derecha,izquierda
derecha_p01_s01_r031_w01,derecha_p01_s01_r031,derecha,derecha
derecha_p01_s01_r031_w02,derecha_p01_s01_r031,derecha,derecha
derecha_p01_s01_r033_w00,derecha_p01_s01_r033,derecha,izquierda
derecha_p01_s01_r033_w01,derecha_p01_s01_r033,derecha,izquierda
derecha_p01_s01_r033_w02,derecha_p01_s01_r033,derecha,derecha
derecha_p01_s01_r039_w00,derecha_p01_s01_r039,derecha,izquierda
derecha_p01_s01_r039_w01,derecha_p01_s01_r039,derecha,derecha
derecha_p01_s01_r039_w02,derecha_p01_s01_r039,derecha,derecha
izquierda_p01_s01_r005_w00,izquierda_p01_s01_r005,izquierda,izquierda
izquierda_p01_s01_r005_w01,izquierda_p01_s01_r005,izquierda,derecha
izquierda_p01_s01_r005_w02,izquierda_p01_s01_r005,izquierda,izquierda
izquierda_p01_s01_r006_w00,izquierda_p01_s01_r006,izquierda,derecha
izquierda_p01_s01_r006_w01,izquierda_p01_s01_r006,izquierda,derecha
izquierda_p01_s01_r006_w02,izquierda_p01_s01_r006,izquierda,derecha
izquierda_p01_s01_r011_w00,izquierda_p01_s01_r011,izquierda,izquierda
izquierda_p01_s01_r011_w01,izquierda_p01_s01_r011,izquierda,izquierda
izquierda_p01_s01_r011_w02,izquierda_p01_s01_r011,izquierda,izquierda
izquierda_p01_s01_r013_w00,izquierda_p01_s01_r013,izquierda,derecha
izquierda_p01_s01_r013_w01,izquierda_p01_s01_r013,izquierda,izquierda
izquierda_p01_s01_r013_w02,izquierda_p01_s01_r013,izquierda,derecha
izquierda_p01_s01_r014_w00,izquierda_p01_s01_r014,izquierda,izquierda
izquierda_p01_s01_r014_w01,izquierda_p01_s01_r014,izquierda,izquierda
izquierda_p01_s01_r014_w02,izquierda_p01_s01_r014,izquierda,derecha
izquierda_p01_s01_r015_w00,izquierda_p01_s01_r015,izquierda,izquierda
izquierda_p01_s01_r015_w01,izquierda_p01_s01_r015,izquierda,izquierda
izquierda_p01_s01_r015_w02,izquierda_p01_s01_r015,izquierda,izquierda
izquierda_p01_s01_r018_w00,izquierda_p01_s01_r018,izquierda,izquierda
izquierda_p01_s01_r018_w01,izquierda_p01_s01_r018,izquierda,izquierda
izquierda_p01_s01_r018_w02,izquierda_p01_s01_r018,izquierda,izquierda
izquierda_p01_s01_r023_w00,izquierda_p01_s01_r023,izquierda,izquierda
izquierda_p01_s01_r023_w01,izquierda_p01_s01_r023,izquierda,izquierda
izquierda_p01_s01_r023_w02,izquierda_p01_s01_r023,izquierda,izquierda
izquierda_p01_s01_r027_w00,izquierda_p01_s01_r027,izquierda,izquierda
izquierda_p01_s01_r027_w01,izquierda_p01_s01_r027,izquierda,izquierda
izquierda_p01_s01_r027_w02,izquierda_p01_s01_r027,izquierda,izquierda
izquierda_p01_s01_r036_w00,izquierda_p01_s01_r036,izquierda,derecha
izquierda_p01_s01_r036_w01,izquierda_p01_s01_r036,izquierda,derecha
izquierda_p01_s01_r036_w02,izquierda_p01_s01_r036,izquierda,izquierda
izquierda_p01_s01_r038_w00,izquierda_p01_s01_r038,izquierda,izquierda
izquierda_p01_s01_r038_w01,izquierda_p01_s01_r038,izquierda,izquierda
izquierda_p01_s01_r038_w02,izquierda_p01_s01_r038,izquierda,izquierda
